cruise_name,date,latitude,longitude,pres,temp,phosphat,phosphat_q,doxy,doxy_q,psal,psal_q,categ
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,409,13.4567696,0.34064055125768,2,183.574225469577,2,38.541,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,419,13.446772,0.321175854755818,2,183.146498334152,2,38.551,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,505,13.3567936,0.369841339226001,2,179.66506405359,2,38.542,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,600,13.2568176,0.340648660435104,2,187.476475885686,2,38.508,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,1000,13.0768608,0.379594619878031,2,191.818372025134,2,38.456,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,1204,13.0368704,0.369865826925942,2,193.120070581112,2,38.453,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,1498,13.0168752,0.374736106630569,2,197.025756046217,2,38.44,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,1799,13.0568656,0.379603374110748,2,197.453305267707,2,38.438,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,2310,13.1068536,0.369872155530574,2,197.890472268198,2,38.43,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,2513,13.146844,0.350404939298932,2,198.755389600458,2,38.431,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,27,18.6355264,0.00973796849364427,2,245.632302587267,2,37.822,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,38,18.6155312,0.00973795400336824,2,231.719992886435,2,37.82,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,56,18.445572,0.00973784532714444,2,231.707423908764,2,37.825,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,67,17.2058696,0,2,238.154196828004,2,37.845,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,78,15.9761648,0.019473328950175,2,245.443052321467,2,37.99,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,87,15.7162272,0.0292055822684987,2,237.572277475677,2,38.193,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,97,14.6264888,0.0292048652611851,2,236.643940765319,2,38.226,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,105,13.9666472,0.0389392119933953,2,232.699112428853,2,38.195,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,153,13.196832,0.301742300577808,2,197.910247981091,2,38.428,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,195,13.2368224,0.321195925481354,2,195.298734321852,2,38.468,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,252.209290656077,13.24057349952,0.345518584212428,2,192.68832432939,2,38.503,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,285,13.2068296,0.369851519264848,2,190.082880037896,2,38.511,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,397,13.1168512,0.360123138887162,2,193.987603821691,2,38.494,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,438,13.1068536,0.360123942601502,2,191.383167262907,2,38.486,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,488,13.0668632,0.360126085850474,2,191.38249820752,2,38.477,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,541,13.046868,0.330927904411521,2,193.54910830378,2,38.472,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,562,13.0368704,0.350395294401949,2,191.382225863317,2,38.472,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,778,12.99688,0.360132515691049,2,194.423136772659,2,38.446,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,982,12.99688,0.369867202698282,2,197.454460259654,2,38.447,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,1171,13.0168752,0.340666906947788,2,200.495453057573,2,38.449,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,1470,13.046868,0.360133319431,2,201.359474530768,2,38.442,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,1783,13.0668632,0.369869128790082,2,199.629999102757,2,38.441,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,1991,13.0768608,0.350404678621768,2,199.630426548818,2,38.427,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,2311,13.1268488,0.350403635915485,2,205.265685804586,2,38.436,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,16,14.4165392,0.0292008460743398,2,243.541526216073,2,38.418,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,26,14.3565536,0.0194672307162266,2,238.765536411122,2,38.421,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,35,14.0566256,0.0876035809587458,2,226.165687149157,2,38.395,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,79,13.24682,0.321192102367711,2,197.464498168619,2,38.466,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,105,13.2068296,0.311455532847749,2,196.158355467674,2,38.477,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,130,13.196832,0.321188040370476,2,196.594804933881,2,38.5,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,153,13.1668392,0.330921257470652,2,194.426633032068,2,38.504,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,200,13.146844,0.36011965615038,2,193.123155494609,2,38.497,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,248,13.0768608,0.350390602407384,2,195.289301964722,2,38.486,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,301,13.046868,0.369858948158188,2,195.288997522186,2,38.477,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,406,13.0068776,0.418527090050366,2,194.85072947865,2,38.47,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,454,12.99688,0.418528024112067,2,193.98566965139,2,38.467,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,503,12.99688,0.418528646821286,2,192.683570458414,2,38.466,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,605.859073130438,12.92231390016,0.408796132583739,2,194.852227779097,2,38.458,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,782,12.9668872,0.39906605750727,2,197.0263112649,2,38.449,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,961,12.9868824,0.399064276251434,2,201.796272659678,2,38.458,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,1160,13.0168752,0.399062495005328,2,200.930520411757,2,38.452,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,1478,13.0568656,0.389329553052686,2,200.055755167965,2,38.449,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,1771,13.0668632,0.389331580490047,2,202.2319928817,2,38.456,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,1961,13.0768608,0.389333318303783,2,200.055456578649,2,38.434,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,2155,13.0868584,0.38933476648915,2,200.05535781313,2,38.445,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,2466,13.1568416,0.399067245016567,2,203.097079110827,2,38.448,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,49,15.6762368,0.282713943105371,2,215.291140172165,2,36.302,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,73,15.7362224,0.272883335167667,2,214.790636417283,2,36.964,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,98,15.49628,0.282503126267231,2,210.77058259874,2,37.266,2,training
